timestamp,price
2026-05-07T14:45:54+05:30,1093.70
2026-05-07T14:45:55+05:30,1093.80
2026-05-07T14:45:56+05:30,1093.80
2026-05-07T14:45:57+05:30,1093.80
2026-05-07T14:45:58+05:30,1093.80
2026-05-07T14:45:59+05:30,1093.80
2026-05-07T14:46:00+05:30,1093.80
2026-05-07T14:46:01+05:30,1094.00
2026-05-07T14:46:02+05:30,1094.30
2026-05-07T14:46:03+05:30,1094.40
2026-05-07T14:46:04+05:30,1094.40
2026-05-07T14:46:05+05:30,1094.30
2026-05-07T14:46:06+05:30,1094.10
2026-05-07T14:46:07+05:30,1094.10
2026-05-07T14:46:08+05:30,1093.90
2026-05-07T14:46:09+05:30,1093.80
2026-05-07T14:46:10+05:30,1093.80
2026-05-07T14:46:11+05:30,1093.70
2026-05-07T14:46:12+05:30,1093.70
2026-05-07T14:46:13+05:30,1093.70
2026-05-07T14:46:14+05:30,1093.70
2026-05-07T14:46:15+05:30,1093.50
2026-05-07T14:46:16+05:30,1093.50
2026-05-07T14:46:17+05:30,1093.50
2026-05-07T14:46:18+05:30,1093.40
2026-05-07T14:46:19+05:30,1093.30
2026-05-07T14:46:20+05:30,1093.30
2026-05-07T14:46:21+05:30,1093.40
2026-05-07T14:46:22+05:30,1093.40
2026-05-07T14:46:23+05:30,1093.70
2026-05-07T14:46:24+05:30,1093.70
2026-05-07T14:46:25+05:30,1093.40
2026-05-07T14:46:26+05:30,1093.40
2026-05-07T14:46:27+05:30,1093.50
2026-05-07T14:46:28+05:30,1093.70
2026-05-07T14:46:29+05:30,1093.90
2026-05-07T14:46:30+05:30,1093.60
2026-05-07T14:46:31+05:30,1093.60
2026-05-07T14:46:32+05:30,1093.80
2026-05-07T14:46:33+05:30,1093.60
2026-05-07T14:46:34+05:30,1093.60
2026-05-07T14:46:35+05:30,1093.80
2026-05-07T14:46:36+05:30,1093.50
2026-05-07T14:46:37+05:30,1094.00
2026-05-07T14:46:38+05:30,1093.80
2026-05-07T14:46:39+05:30,1094.00
2026-05-07T14:46:40+05:30,1094.20
2026-05-07T14:46:41+05:30,1094.20
2026-05-07T14:46:42+05:30,1094.30
2026-05-07T14:46:43+05:30,1094.00
2026-05-07T14:46:44+05:30,1094.30
2026-05-07T14:46:45+05:30,1094.00
2026-05-07T14:46:46+05:30,1094.00
2026-05-07T14:46:47+05:30,1094.40
2026-05-07T14:46:48+05:30,1094.00
2026-05-07T14:46:49+05:30,1094.10
2026-05-07T14:46:50+05:30,1093.70
2026-05-07T14:46:51+05:30,1093.70
2026-05-07T14:46:52+05:30,1093.70
2026-05-07T14:46:53+05:30,1093.70
2026-05-07T14:46:54+05:30,1093.60
2026-05-07T14:46:55+05:30,1093.70
2026-05-07T14:46:56+05:30,1093.80
2026-05-07T14:46:57+05:30,1093.90
2026-05-07T14:46:58+05:30,1093.60
2026-05-07T14:46:59+05:30,1093.60
2026-05-07T14:47:00+05:30,1093.30
2026-05-07T14:47:01+05:30,1093.30
2026-05-07T14:47:02+05:30,1093.20
2026-05-07T14:47:03+05:30,1093.40
2026-05-07T14:47:04+05:30,1093.50
2026-05-07T14:47:05+05:30,1093.40
2026-05-07T14:47:06+05:30,1093.20
2026-05-07T14:47:07+05:30,1093.50
2026-05-07T14:47:08+05:30,1093.30
2026-05-07T14:47:09+05:30,1093.30
2026-05-07T14:47:10+05:30,1093.10
2026-05-07T14:47:11+05:30,1093.30
2026-05-07T14:47:12+05:30,1093.30
2026-05-07T14:47:13+05:30,1093.30
2026-05-07T14:47:14+05:30,1093.20
2026-05-07T14:47:15+05:30,1093.20
2026-05-07T14:47:16+05:30,1093.00
2026-05-07T14:47:17+05:30,1093.00
